acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,datetime,elapsed,Row #,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,datetime,IGNORE,Elapsed,Minutes,Label
-0.045170926,-0.033530399,0.96284622,-0.000246741,-0.003007335,-0.003641432,39:58.9,30.2,42,-0.02542407,-0.033892238,0.867560774,0.034238562,-0.031442025,0.026758552,40:21.1,21.8,59,00:59.0,5
-0.052082323,-0.039561048,0.958703399,0.002398565,-0.000534985,0.000643753,39:59.4,30.7,43,-0.009490682,-0.01266436,0.849770874,0.025228299,0.01391472,0.060661575,40:22.1,22.3,60,01:00.0,5
-0.04936713,-0.030394463,0.956022739,0.001467623,-0.000541393,-0.001153461,39:59.9,31.2,44,-0.037272182,-0.027719828,0.962602556,-0.020739313,0.029797215,0.005225554,40:23.2,22.8,61.1,01:01.1,5
-0.039493702,-0.009890262,0.930190861,0.005718783,0.000698037,0.001832461,40:00.5,31.7,45,0.041094583,0.28103945,1.26271522,-0.43429511,0.041250939,0.034852516,40:24.2,23.3,62.1,01:02.1,5
-0.046405103,0.04613059,0.974299967,0.002619684,-0.003217585,0.024324112,40:01.0,32.3,46,-0.065041192,-0.022740994,0.859640658,0.089253139,0.150147639,0.105089914,40:25.3,23.9,63.2,01:03.2,5
-0.004936713,0.029863488,0.980148733,0.018502176,0.010832315,0.068306409,40:01.5,32.8,47,-0.038136108,-0.057043658,0.979539424,-0.013524935,-0.03983145,0.045377834,40:26.4,24.4,64.3,01:04.3,5
-0.013575961,-0.04173208,1.007686496,0.015142418,0.009305153,0.103431158,40:02.0,33.3,48,-0.105151987,-0.128608636,1.078358471,0.123156156,-0.028988592,0.016667167,40:27.5,24.9,65.4,01:05.4,5
-0.113791235,0.070409842,0.936770737,-0.062037464,-0.01059399,-0.024856385,40:02.6,33.9,49,-0.085034881,-0.066337122,0.958581537,-0.030622024,-0.036569455,0.025474487,40:28.5,25.5,66.4,01:06.4,5
-0.033075977,0.072352186,0.967232823,0.02959232,-0.019146105,-0.109461226,40:03.1,34.4,50,-0.042579151,-0.066819571,0.938354731,-0.047260964,0.014034596,0.061159877,40:29.6,26,67.5,01:07.5,5
0.042912927,-0.057170536,1.119055986,-0.009808484,0.017811242,-0.168715149,40:03.6,34.9,51,-0.092933621,-0.005375858,0.827838212,0.041009068,-0.015439653,0.029853032,40:30.7,26.5,68.5,01:08.5,5
-0.054797515,-0.023881365,0.944325268,0.01408001,0.004599025,-0.071285322,40:04.2,35.5,52,-0.15106342,-0.214208588,0.962115139,0.061320333,-0.04002698,-0.026041139,40:31.7,27.1,69.6,01:09.6,5
-0.171057105,-0.059100345,0.925560653,-0.017990418,0.004599025,0.043557346,40:04.7,36,53,-0.12724377,-0.057170537,0.370811455,0.32582498,0.048090331,0.112472551,40:32.8,27.6,70.7,01:10.7,5
-0.081208929,0.050500855,0.839779377,0.042179808,0.004599025,0.092121132,40:05.2,36.5,54,0.058793135,-0.20552447,0.580851465,-0.197686516,0.002428156,-0.103926461,40:33.8,28.1,71.7,01:11.7,5
-0.012341782,-0.069231831,0.846359134,0.06966874,0.000933833,0.000796778,40:05.7,37,55,-0.048346359,-0.06899061,0.955779016,-0.07490262,-0.006123957,0.12804962,40:34.9,28.6,72.8,01:12.8,5
-0.125392511,-0.139911011,1.123686075,0.269421667,-0.006701982,-0.072507054,40:06.3,37.6,56,-0.043319656,-0.063563025,0.959678203,0.027875461,-0.038805248,0.153247803,40:36.0,29.2,73.8,01:13.8,5
