acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,datetime,elapsed,,,,,,,,
-0.010367097,0.664766073,0.531015456,-0.083959237,0.101257958,0.007670922,13:23.1,12594.5,,,,,,,,
0.123889863,0.385311812,0.62825048,0.224527702,-0.033743262,-0.065327473,13:23.7,12595,,,,,,,,
-0.071088664,0.608438194,0.416234195,-0.154819623,0.226179898,0.252627879,13:24.2,12595.5,,,,,,,,
0.004848918,0.702641726,0.564158201,-0.013098881,0.16753684,0.18298924,13:24.8,12596.1,,,,,,,,
-0.023202552,0.73954618,0.676258743,-0.154514179,-0.135452315,-0.127024859,13:25.3,12596.6,,,,,,,,
-0.042208895,0.688316941,0.707208276,-0.004241332,0.081404835,0.04249024,13:25.9,12597.2,,,,,,,,
-0.094784886,0.774751067,0.95334208,-0.212851807,0.574983954,0.620368779,13:26.4,12597.7,,,,,,,,
-0.082936779,0.57153374,0.682838559,-0.030203104,0.180059582,0.088610567,13:27.0,12598.3,,,,,,,,
-0.098487422,0.676177323,0.628981531,-0.09617655,0.240535244,0.259652853,13:27.5,12598.9,,,,,,,,
-0.008392412,0.50962162,0.767157674,-0.041809544,0.197163805,0.145421028,13:28.1,12599.4,,,,,,,,
-0.0893545,0.645828247,0.665536106,-0.098925427,0.174256355,0.128622234,13:28.6,12599.9,,,,,,,,
0.02909351,0.406192005,0.633611858,-0.040893242,0.05361047,0.037297886,13:29.1,12600.5,,,,,,,,
0.044125158,0.580031455,0.863661587,-0.014015168,-0.046265997,-0.057080794,13:29.7,12601,,,,,,,,
-0.030360786,0.765767813,0.71841836,-0.17406188,-0.013890142,-0.006684411,13:30.2,12601.6,,,,,,,,
-0.0533165,0.64437151,0.79079628,-0.053415984,0.005352113,-0.072657861,13:30.8,12602.1,,,,,,,,
-0.192531809,0.922611773,0.685519218,-0.110226437,0.092705838,0.013168709,13:31.3,12602.7,,,,,,,,
-0.050601307,0.6832183,0.789821446,-0.032951996,0.02367807,0.007365489,13:31.9,12603.2,,,,,,,,
-0.169576079,0.764796615,0.890224576,-0.057997465,0.069798395,-0.006073547,13:32.5,12603.8,,,,,,,,
-0.02270888,0.67204982,0.818821371,-0.092816785,0.031313889,0.00858722,13:33.0,12604.3,,,,,,,,
0.073703557,0.709197104,0.644334495,-0.140464291,0.022761773,0.047071729,13:33.6,12604.9,,,,,,,,
-0.057512704,0.607224226,0.751561105,-0.116029665,0.031924754,0.015001304,13:34.1,12605.4,,,,,,,,
0.01187985,0.611351669,0.746687174,-0.055248573,0.033451915,-0.056775361,13:34.7,12606,,,,,,,,
-0.036038004,0.699242592,0.854888499,-0.124276355,0.071020126,0.035159856,13:35.2,12606.6,,,,,,,,
0.181349546,0.529773414,0.716468692,0.437414229,-0.167828172,-0.154208362,13:35.8,12607.1,,,,,,,,
0.115889147,0.616450369,0.636536121,0.011030301,-0.294888139,-0.257139146,13:36.3,12607.7,,,,,,,,
-0.010367097,0.631260693,0.502746642,-0.135577366,-0.130259961,-0.326472342,13:36.9,12608.2,,,,,,,,
-0.11156971,0.593142271,0.875846446,-0.075712562,0.413715541,0.399540991,13:37.4,12608.8,,,,,,,,
0.004121581,0.57736069,0.727678776,-0.071436509,0.343160599,0.249878988,13:38.0,12609.3,,,,,,,,
0.197108522,0.580517054,0.659199953,0.032716021,-0.316573858,-0.319141984,13:38.5,12609.8,,,,,,,,
0.026669051,0.566192269,0.747905612,-0.094038531,-0.356280118,-0.412909776,13:39.1,12610.4,,,,,,,,
-0.16883558,0.779849768,0.853913784,-0.102285191,0.380423367,0.346090287,13:39.6,12610.9,,,,,,,,
-0.005924055,0.585615695,0.647746265,-0.072047368,0.14585112,0.117015801,13:40.2,12611.5,,,,,,,,
-0.015056974,0.405220807,0.679426789,-0.132217601,-0.035575856,-0.039671134,13:40.7,12612,,,,,,,,
-0.08145576,0.658696234,0.634099185,-0.069909334,0.17731069,0.213837937,13:41.3,12612.6,,,,,,,,
-0.054797515,0.539727867,0.751561105,-0.044253007,0.104006849,0.13320373,13:41.8,12613.1,,,,,,,,
0.068854645,0.589014769,0.780073643,-0.011571705,-0.086583108,-0.221708983,13:42.4,12613.7,,,,,,,,
-0.038012687,0.509378791,0.463755101,-0.25836128,-0.04290624,-0.078155644,13:42.9,12614.3,,,,,,,,
-0.040481046,0.781792104,0.668947875,-0.012182578,-0.02427485,-0.001492057,13:43.5,12614.8,,,,,,,,
0.013576971,0.648013413,0.797376096,-0.056775734,0.054832201,-0.007295277,13:44.0,12615.3,,,,,,,,
-0.114531741,0.600183249,0.523948193,-0.110531881,-0.095135219,-0.072352424,13:44.5,12615.9,,,,,,,,
-0.047886115,0.642186344,0.724754393,-0.046391025,0.063384309,-0.011876767,13:45.1,12616.4,,,,,,,,
-0.028632935,0.708468735,0.936039627,-0.120000288,0.034673646,0.01103068,13:45.6,12617,,,,,,,,
0.043882709,0.531472921,0.629225254,-0.079072312,0.001686922,-0.061051421,13:46.2,12617.5,,,,,,,,
-0.074297532,0.633445799,0.8427037,-0.03661719,0.13119036,-0.037533108,13:46.7,12618,,,,,,,,
-0.08910767,1.049592257,0.668704152,-0.467277169,0.093622141,0.117932096,13:47.3,12618.6,,,,,,,,
