acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,datetime,elapsed,Row #,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,datetime,IGNORE,Elapsed,Minutes,Label,
-0.004689877,0.695843518,0.568057358,-0.028981373,-0.022747688,-0.028675558,33:33.5,71.7,42,0.011602113,0.745737374,0.590599298,-0.038310483,-0.014073776,-0.040401938,33:56.0,22,77.6,01:17.6,5,
0.057217237,0.711139441,0.624107659,-0.028675944,-0.033437829,-0.015541957,33:34.0,72.2,43,0.068006078,0.734083354,0.616309345,-0.058163598,0.014026025,-0.006346202,33:57.1,22.5,78.7,01:18.7,4,
-0.031594962,0.69487232,0.60436821,-0.042114973,0.005657546,-0.018290849,33:34.5,72.8,44,-0.0077316,0.734326154,0.725729197,-0.053123958,0.027006912,0.04618821,33:58.2,23.1,79.7,01:19.7,4,
-0.002221521,0.714538515,0.588040531,-0.034479156,0.007795574,0.01103068,33:35.1,73.3,45,0.020729125,0.707497537,0.693073839,-0.036325164,-0.010255869,-0.014134733,33:59.3,23.6,80.8,01:20.8,5,
0.003636689,0.665980041,0.634342909,-0.036006317,0.023983503,-0.022261474,33:35.6,73.9,46,0.026547829,0.766496152,0.623620212,-0.043960981,0.003335883,-0.003597308,34:00.3,24.2,81.9,01:21.9,1,
0.017456107,0.768438518,0.711838484,-0.035700887,-0.00900322,-0.009433305,33:36.1,74.4,47,0.025699267,0.788833052,0.575246423,-0.039532207,-0.015753655,-0.025741173,34:01.4,24.7,82.9,01:22.9,1,
-0.003208863,0.635145366,0.63507396,-0.045169294,0.040171433,0.01439044,33:36.7,74.9,48,0.058914359,0.793931752,0.611922771,-0.056636438,-0.037744805,-0.030780812,34:02.5,25.2,84,01:24.0,1,
0.056974791,0.667436779,0.727435052,-0.058913767,0.013904227,0.039741345,33:37.2,75.5,49,0.003464984,0.768074304,0.705380529,-0.025176875,-0.021251443,6.78832E-05,34:03.6,25.8,85.1,01:25.1,1,
-0.008886083,0.711139441,0.677720964,-0.05127795,0.021845475,0.023858851,33:37.8,76,50,0.007855855,0.729227513,0.540154055,-0.057094581,0.017996649,0.034123622,34:04.6,26.3,86.2,01:26.2,5,
0.075158238,0.692929983,0.705746055,-0.013098881,0.034673646,0.026302313,33:38.3,76.5,51,0.030394545,0.706890583,0.604977429,-0.010821544,0.025174315,-0.005888053,34:05.7,26.8,87.2,01:27.2,5,
0.04048847,0.634659827,0.81199795,-0.042725831,0.029786723,0.029967504,33:38.8,77.1,52,-0.022338626,0.748286724,0.643115968,-0.025940455,-0.001703755,-0.002375578,34:06.8,27.4,88.3,01:28.3,5,
0.008000716,0.708711505,0.699897349,-0.047307327,0.068576664,0.01561217,33:39.4,77.6,53,-0.149088733,0.799880147,0.691124231,-0.032659978,0.418418807,0.397130303,34:07.8,27.9,89.4,01:29.4,2,
0.032002863,0.628832757,0.610704303,0.007059678,0.006573844,0.000340539,33:39.9,78.2,54,-0.08441779,0.636359334,0.625691622,-0.031285524,0.662917614,0.697981447,34:08.9,28.5,90.5,01:30.5,2,
-0.04467725,0.600183249,0.498847455,-0.045169294,0.037727974,0.007365489,33:40.4,78.7,55,0.300390489,0.596177191,0.734624147,-0.054651126,-0.325309634,-0.330257475,34:10.0,29,91.5,01:31.5,3,
0.025941715,0.744402051,0.506645739,-0.065022424,0.006879277,-0.010960468,33:41.0,79.2,56,0.189956374,0.731291234,0.609363973,-0.078016721,-0.654260576,-0.722891092,34:11.1,29.5,92.6,01:32.6,3,
0.235414982,0.796116889,0.934577405,0.014695495,0.100036226,-0.073574156,33:41.5,79.8,57,0.094796352,0.716238081,0.593036294,-0.037088752,-0.020487862,-0.079191882,34:12.2,30.1,93.7,01:33.7,5,
-0.136006445,0.719637215,0.659443676,-0.032035694,-0.003810865,-0.02287234,33:42.1,80.3,58,-0.036161421,0.675691724,0.51078856,-0.119250134,-0.026596515,-0.029864512,34:13.2,30.6,94.8,01:34.8,5,
-0.086639315,0.710411072,0.713544369,-0.034173727,0.001381489,0.013779574,33:42.6,80.8,59,0.063642055,0.668043792,0.594498426,-0.027773052,-0.016669955,-0.013523869,34:14.3,31.1,95.8,01:35.8,5,
-0.101202615,0.724735796,0.589502692,-0.017680362,0.020318313,0.031189235,33:43.1,81.4,60,0.1203744,0.711989224,0.591208532,0.041407436,0.016469486,-0.019174371,34:15.4,31.7,96.9,01:36.9,5,
0.348394781,0.595327377,0.678452075,-0.014320597,-0.514799654,-0.530195892,33:43.7,81.9,61,0.007637046,0.755206347,0.654691592,-0.00135313,0.004557614,0.004191223,34:16.5,32.2,98,01:38.0,5,
0.055762563,0.921397805,0.746199787,-0.066244155,-0.741736054,-0.780650675,33:44.2,82.4,62,-0.040851299,0.767345905,0.697582245,-0.047168031,0.004099465,-0.002833727,34:17.5,32.7,99.1,01:39.1,5,
0.488286048,0.228467807,0.506402016,0.029967129,-0.630864024,-0.693602383,33:44.7,83,63,0.006222888,0.761154711,0.560624599,-0.042128384,0.014178741,-0.007415216,34:18.6,33.3,100.1,01:40.1,5,
0.073218666,0.673749387,0.789334118,-0.061051801,-0.350476891,-0.53905344,33:45.3,83.5,64,-0.007231848,0.763704032,0.633977354,-0.068552338,0.006588042,-0.015120903,34:19.7,33.8,101.2,01:41.2,5,
0.039518684,0.673263788,0.658956289,-0.057692036,-0.243880898,-0.256528288,33:45.8,84,65,0.044003933,0.839091152,0.71634689,-0.044274472,-0.023604671,-0.033364015,34:20.7,34.3,102.3,01:42.3,5,
-0.431468725,0.680304766,0.744250119,-0.021345556,0.710290611,0.667405427,33:46.4,84.6,66,-0.051712066,0.833749712,0.669313401,-0.037096806,0.029998757,-0.01900868,34:21.8,34.9,103.3,01:43.3,5,
-0.288550884,0.591928303,0.692830145,-0.048834488,0.944252014,0.957260966,33:46.9,85.1,67,0.023877543,0.7423383,0.647015154,-0.030835435,0.022210223,0.0678869,34:22.9,35.4,104.4,01:44.4,5,
-0.182164714,0.688074172,0.757653534,-0.082432076,0.700822175,0.653660953,33:47.4,85.7,68,0.004727695,0.742823869,0.661880642,-0.031599022,0.044354089,0.047270199,34:24.0,36,105.5,01:45.5,5,
0.067399964,0.775236726,0.726460338,-0.019512951,0.357210487,0.336010993,33:48.0,86.2,69,0.02302679,0.724857211,0.708304912,-0.049772255,0.068635982,0.054906015,34:25.0,36.5,106.6,01:46.6,5,
-0.283367336,0.570319772,0.499334842,0.043711588,0.062468018,0.228193268,33:48.5,86.7,70,-0.039987374,0.785919577,0.754363596,-0.098030612,0.004647847,0.032609433,34:26.1,37,107.7,01:47.7,3,
0.009212945,0.665494442,0.572443902,-0.039366081,-0.067035422,-0.019207148,33:49.0,87.3,71,0.283419281,0.607224226,0.722439289,-0.080162816,-0.992895067,-1.056257904,34:27.2,37.6,108.7,01:48.7,3,
-0.020240523,0.7562989,0.73547709,-0.006990224,-0.074365802,-0.115723856,33:49.6,87.8,72,0.019058848,0.569227189,0.72048974,-0.040914714,-0.278640897,-0.28931655,34:28.3,38.1,109.8,01:49.8,5,
