acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,datetime,elapsed,Row #,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,datetime,IGNORE,Elapsed,Label,,,
-0.065411448,0.654568791,0.805905521,-0.027759641,-0.019387929,-0.061051421,42:46.4,1359.1,77,0.028123727,0.650684088,0.709645212,-0.032951973,-0.021395454,-0.002187853,43:28.5,41,83.1,5,,,
0.034427322,0.752899826,0.978686571,0.041878998,-0.094218925,-0.029286424,42:46.9,1359.6,78,0.019032005,0.493111715,0.707695663,0.21353215,0.02854278,-0.037159888,43:29.6,41.5,84.2,5,,,
0.025214376,0.668650746,0.643115997,-0.044558436,-0.101243876,-0.065938339,42:47.5,1360.1,79,0.102976372,0.65274784,0.678573877,0.09090095,0.040760084,-0.009060085,43:30.7,42,85.3,5,,,
0.031275522,0.68346107,0.693317533,-0.079988614,-0.109185122,-0.135271549,42:48.0,1360.7,80,0.13409725,0.627618819,0.687590659,0.110906787,-0.000473319,-0.063579812,43:31.8,42.6,86.4,5,,,
0.061338816,0.690259278,0.790552557,-0.060440928,-0.05237465,-0.148710579,42:48.5,1361.2,81,0.012243519,0.613051236,0.721342653,-0.065327831,0.046105155,0.009418586,43:32.9,43.1,87.5,5,,,
-0.159208998,0.675206184,0.722561121,-0.0796832,0.089956947,0.130454838,42:49.1,1361.8,82,-0.0159209,0.665737212,0.713422507,-0.061204493,0.031138958,0.022704905,43:34.0,43.7,88.6,5,,,
-0.169082418,0.605281889,0.574637175,-0.070214778,0.241146103,0.292028695,42:49.6,1362.3,83,-0.00273883,0.644250095,0.714519143,-0.073816068,0.01299151,-0.001094037,43:35.1,44.2,89.7,5,,,
-0.12415833,0.604553521,0.648477316,-0.082432076,0.289099038,0.245908365,42:50.2,1362.9,84,-0.006664563,0.650198489,0.737792224,-0.061840326,0.009657545,0.011453502,43:36.3,44.8,90.8,5,,,
-0.021721536,0.573233306,0.717687249,-0.044253007,0.089956947,0.099300705,42:50.7,1363.4,85,-0.00394937,0.678483844,0.691611677,-0.05359365,0.002632595,0.000457928,43:37.4,45.3,91.9,5,,,
-0.209069788,0.834235251,0.74571234,-0.022567287,-0.081085324,0.04249024,42:51.2,1363.9,86,-0.004196206,0.700577974,0.700019181,-0.063825637,0.01729336,0.010079055,43:38.5,45.8,93.1,5,,,
0.062308598,0.792960525,0.891686738,-0.161844566,0.069798395,0.045239132,42:51.8,1364.5,87,0.00903685,0.738453597,0.654447883,-0.057564266,0.023707447,0.014660545,43:39.6,46.4,94.2,5,,,
0.007515823,0.624948084,0.626788318,-0.019207522,0.01787485,-0.000270326,42:52.3,1365,88,0.073669959,0.755206317,0.651279837,-0.022592239,-0.002865192,-0.013591973,43:40.7,46.9,95.3,4,,,
-0.03974054,0.587558031,0.748636723,-0.042725831,-0.064591959,-0.052499305,42:52.9,1365.6,89,-0.086392479,0.706040829,0.791161805,-0.151179373,0.009504829,0.007024729,43:41.8,47.5,96.4,4,,,
0.055762563,0.665737271,0.6801579,-0.032035694,-0.003810865,-0.035089646,42:53.4,1366.1,90,-0.014193049,0.627254635,0.576586723,-0.04885944,0.000647282,0.036651694,43:42.9,48,97.5,4,,,
0.014304309,0.57687515,0.610216916,0.009503141,0.104617715,0.053485814,42:54.0,1366.6,91,-0.020989982,0.560972258,0.631052971,-0.122621417,0.074103829,-0.015424568,43:44.0,48.5,98.6,1,,,
-0.055044349,0.680547595,0.765208125,-0.091289625,0.043836627,0.046460863,42:54.5,1367.2,92,0.094432686,0.648134768,0.630443752,-0.088107534,0.020805835,0.013438813,43:45.1,49.1,99.7,1,,,
-0.042455733,0.625433683,0.803224862,-0.075407133,0.006268411,-0.025010368,42:55.0,1367.7,93,0.004917464,0.7060408,0.611069858,-0.085969508,0.018209659,0.004581268,43:46.2,49.6,100.8,1,,,
0.021820132,0.558665693,0.63921684,-0.052805111,-0.06611912,-0.068687238,42:55.5,1368.2,94,-0.048873456,0.687467188,0.669678956,-0.080929868,0.109839447,0.108122926,43:47.3,50.1,101.9,1,,,
-0.069360815,0.75071466,0.814678609,-0.225985423,-0.236855954,-0.122137941,42:56.1,1368.8,95,0.027603036,0.668043733,0.665414244,-0.023409799,-0.048227377,-0.092951838,43:48.4,50.7,103,5,,,
0.027153943,0.6608814,0.726216614,0.012557462,-0.057261571,-0.076017618,42:56.6,1369.3,96,0.003636689,0.645342648,0.654691577,-0.091269821,-0.098323766,-0.054567422,43:49.5,51.2,104.1,5,,,
-0.026164578,0.646313787,0.796644986,0.021109581,-0.004421731,-0.104117416,42:57.2,1369.9,97,-0.06170891,0.651898086,0.716225028,-0.102265403,0.079285303,0.054166592,43:50.6,51.8,105.2,5,,,
-0.039000034,0.679333568,0.523460805,0.029050827,-0.074365802,-0.205215618,42:57.7,1370.4,98,-0.009300234,0.640486807,0.699653685,-0.031984728,-0.033124596,-0.041466385,43:51.7,52.3,106.3,5,,,
0.008000716,0.662338138,0.611922801,-0.0283705,-0.094218925,-0.16001159,42:58.2,1370.9,99,-0.060104482,0.655782729,0.660540313,-0.02495978,-0.000596023,0.003890358,43:52.8,52.8,107.4,5,,,
0.140618622,0.63878721,0.544906139,-0.178948775,-0.204174668,-0.098925062,42:58.8,1371.5,100,-0.007281652,0.57687515,0.766548425,-0.084213704,0.026129331,0.008166416,43:53.9,53.4,108.5,5,,,
-0.085651964,0.840547919,0.849283516,-0.017680362,-0.256403625,-0.177115813,42:59.3,1372,101,-0.027892428,0.683582485,0.699531823,-0.058862798,0.012079432,0.000225167,43:55.0,53.9,109.6,5,,,
