acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,datetime,elapsed,Row #,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,datetime,IGNORE,Elapsed,Label,,
0.033457536,-0.026776075,0.963333607,0.004108503,-0.001104556,0.001350625,34:33.3,54.9,19,0.030063294,-0.030394464,0.886447251,-0.021331381,0.025561019,-0.115074832,34:43.3,9.5,19.6,5,,
0.033457536,-0.024605041,0.964064717,0.004582256,0.000408522,0.003092263,34:33.8,55.5,20,0.087886646,-0.019659911,0.939329505,0.037717674,0.013467234,-0.140263982,34:44.4,10.1,20.6,5,,
0.032487754,-0.02774098,0.963333607,0.00647106,0.000384811,0.003864856,34:34.3,56,21,0.021335243,-0.117718235,0.745956033,0.149964169,0.000791779,-0.116287526,34:45.4,10.6,21.7,5,,
0.032002863,-0.023398912,0.963821054,0.002727486,-0.000528913,0.001649083,34:34.9,56.5,22,0.066793848,-0.01877802,0.944081604,0.045200776,0.023241078,-0.150190543,34:46.5,11.1,22.7,5,,
0.033215091,-0.024605041,0.964064717,0.003206894,-0.001667057,0.001909558,34:35.4,57,23,0.058671914,-0.012540613,0.960531175,0.010686889,-0.001498965,-0.307793796,34:47.5,11.6,23.8,5,,
0.032245304,-0.024363814,0.964795828,0.003390208,-0.000135232,0.000945013,34:35.9,57.6,24,0.040124799,-0.058376664,0.900094301,-0.048261609,-0.014479851,-0.443864018,34:48.6,12.2,24.9,5,,
0.033699982,-0.026534848,0.964795828,0.005338937,-0.001927473,0.004451495,34:36.4,58.1,25,0.105221529,-0.048968856,1.011951178,-0.073612515,-0.004553296,-0.329479486,34:49.7,12.7,25.9,5,,
0.032245304,-0.023881365,0.964795828,0.004005209,-0.001277771,0.002546751,34:37.0,58.6,26,0.062066153,-0.013547795,0.904115319,0.04672794,0.011329204,-0.261520721,34:50.7,13.2,27,5,,
0.032245304,-0.03111814,0.96284622,0.003816187,0.000246127,0.002181754,34:37.5,59.1,27,0.032245305,-0.15993277,0.923611045,-0.003438704,0.003173403,-0.095964115,34:51.8,13.7,28,5,,
0.046307173,-0.051139891,0.929703474,0.014013559,0.001194221,0.008492439,34:38.0,59.7,28,0.027153944,-0.040887787,0.972594142,0.007770587,-0.000528391,-0.005746873,34:52.8,14.3,29.1,5,,
0.041700698,0.051472027,0.960409284,0.011976242,-0.010237223,0.061802987,34:38.6,60.2,29,0.015516539,-0.014835393,0.965526909,0.001938768,-0.001395283,0.001849996,34:53.9,14.8,30.1,5,,
0.006788486,-0.001447355,0.942619443,0.005256727,-0.012069819,0.16229032,34:39.1,60.8,30,0.017940998,-0.018695007,0.964186579,0.000731569,-0.00120557,0.001268309,34:55.0,15.4,31.2,5,,
-0.030360786,0.069195889,0.992089868,-0.01765072,0.008088735,0.24017565,34:39.6,61.3,31,0.018547112,-0.03304795,0.960896701,0.00016322,0.000167436,0.000850257,34:56.0,15.9,32.3,5,,
0.016243877,-0.020745426,0.864880145,0.008616485,-0.029479478,0.258501589,34:40.2,61.8,32,0.015880208,-0.017006425,0.964064747,0.000758417,-0.001925744,-0.000819737,34:57.1,16.4,33.3,5,,
0.086553194,-0.020745426,1.066904783,-0.023960657,-0.019374447,0.154457659,34:40.7,62.3,33,0.015758985,-0.019539298,0.96491766,0.001479313,-0.000382464,7.53864E-05,34:58.1,16.9,34.4,5,,
0.06109637,-0.076227389,0.923367321,0.107986234,0.007809056,-9.12E-05,34:41.2,62.9,34,0.017819775,-0.016765201,0.963455498,0.005417977,0.001567466,0.001942942,34:59.2,17.5,35.4,5,,
0.034912214,-0.041490853,0.996232748,0.033799209,-0.028958702,-0.107897162,34:41.7,63.4,35,0.016607545,-0.015197231,0.964430273,0.002595481,-0.000892715,-0.000226667,35:00.2,18,36.5,5,,
0.100857504,0.043945454,1.046190619,-0.094787925,0.031211523,-0.15493378,34:42.3,63.9,36,0.014425532,-0.016765201,0.96357733,0.001156729,-0.000814598,0.000255715,35:01.3,18.5,37.5,5,,
0.031760417,-0.006030648,0.883401036,-0.081043459,0.021437678,-0.132026345,34:42.8,64.4,37,0.016122653,-0.01760949,0.96491766,0.000964575,0.000269996,0.000629848,35:02.3,19,38.6,5,,
0.028366171,-0.054758281,0.889493465,0.038380697,0.029684359,-0.098123319,34:43.3,65,38,0.016122653,-0.013991102,0.95602271,-0.001325324,-0.001501828,-0.001639468,35:03.4,19.6,39.6,5,,
0.090917222,-0.034254078,0.954804242,0.054516464,-0.035096552,-0.169280082,34:43.9,65.5,39,0.017940998,0.051472027,0.967232764,-0.014834892,0.016225734,-0.015427483,35:04.4,20.1,40.7,5,,
0.084856071,-0.005065744,0.923854768,0.020918883,0.062031019,-0.111247882,34:44.4,66,40,0.014101875,0.025371823,0.940060616,-0.010267958,-0.003860638,0.031353125,35:05.5,20.6,41.8,5,,
0.006303594,-0.130503207,0.847333908,0.196237221,-0.017686896,-0.111553319,34:44.9,66.6,41,0.003944302,-0.092871968,0.987825185,-0.020347234,-0.034556616,-0.029580684,35:06.6,21.2,42.8,5,,
0.036366891,-0.104933262,0.644578159,0.103691116,0.019270454,-0.121021733,34:45.4,67.1,42,0.096857145,-0.025087493,0.986972213,0.101825818,0.02439188,-0.25224106,35:07.6,21.7,43.9,5,,
0.070794202,0.011654044,0.937014401,0.045048058,0.002471658,-0.119189136,34:46.0,67.6,43,0.240627572,-0.01310919,0.997938573,-0.005381038,0.011716426,-0.742613137,35:08.7,22.2,44.9,5,,
