,acc_y,acc_z,gyro_x,gyro_y,gyro_z,datetime,elapsed,Row #,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,datetime,IGNORE,Elapsed,Label
-0.009132919,-0.049692538,0.976005912,-0.008757323,-0.017211847,0.034970969,30:44.3,66.3,77,-0.182658382,0.007689528,0.92604804,0.028529752,-0.071859293,0.42126821,31:25.1,40.2,92,5
0.008243161,-0.091424614,0.979173958,0.019317694,0.035329506,0.021770651,30:44.8,66.8,78,-0.025615025,0.026707183,0.933237106,-0.0244628,-0.002831517,-0.289626218,31:26.2,40.7,93.1,5
-0.001234178,-0.017368264,0.973081529,0.01412534,0.01730898,-0.008161746,30:45.3,67.4,79,-0.043646185,-0.08165497,0.951879859,0.041816082,-0.017797715,-0.132022986,31:27.2,41.3,94.1,5
0.022547469,-0.07429757,0.934821069,-0.016285725,0.040916253,-0.02776476,30:45.9,67.9,80,-0.060901044,-0.112773106,0.875115395,0.086103812,-0.01306351,0.072616873,31:28.3,41.8,95.2,5
0.057459682,-0.177783489,1.064711571,0.039303012,0.012205584,-0.054948263,30:46.4,68.4,81,-0.039156213,-0.035339595,1.464374393,0.301433805,-0.024975384,0.11232312,31:29.4,42.3,96.3,5
-0.216474861,-0.077674739,1.504096985,-0.070347302,-0.027500656,-0.042120095,30:47.0,69,82,-0.012775525,0.049893874,1.005005807,-0.062794596,-0.054296914,0.15294566,31:30.4,42.9,97.4,5
-0.005183549,-0.222410277,1.094929934,-0.112497002,0.033280436,0.067530215,30:47.5,69.5,83,-0.075284874,-0.024484427,0.805418104,-0.016368836,0.003124419,0.108047061,31:31.5,43.4,98.4,5
-0.04862662,-0.189121097,0.864880145,-0.034122374,0.02136106,0.088353038,30:48.0,70,84,0.038064008,-0.046435987,0.959921896,-0.04767568,0.004804298,0.123165976,31:32.6,43.9,99.5,3
-0.028139263,-0.054517049,0.955291629,-0.014880117,0.005478564,0.139360294,30:48.6,70.6,85,0.152619705,0.032898393,0.99976632,-0.016979702,-0.007413005,-0.857425481,31:33.6,44.5,100.5,2
-0.083677284,-0.03883737,0.82223314,-0.029540885,0.010670919,0.261838764,30:49.1,71.1,86,0.033792321,-0.078036573,0.989652902,0.019977644,0.045579555,0.255723715,31:34.7,45,101.6,5
-0.181917876,-0.093595646,0.891686738,-0.023432232,-0.007349607,0.310402542,30:49.6,71.6,87,-0.069484234,-0.056594826,0.889737189,0.012952697,-0.102860704,0.841085315,31:35.8,45.5,102.7,3
-0.055044349,-0.227717251,1.021333456,-0.018545311,-0.070268728,0.190367535,30:50.1,72.1,88,-0.134648848,0.040182172,0.807367623,0.02715531,-0.00023534,0.547411874,31:36.8,46,103.7,2
-0.146620378,-0.148112699,0.957241178,-0.001416862,-0.001520397,0.024105556,30:50.7,72.7,89,0.140497413,0.045645006,0.943594217,-0.020797608,0.010912951,-0.902782232,31:37.9,46.6,104.8,2
-0.108854517,-0.067060798,0.950661421,-0.008900527,0.000907551,-0.02224537,30:51.2,73.2,90,0.182561763,0.008639503,0.946274847,-0.111052949,0.087881971,-0.915304929,31:38.9,47.1,105.8,2
-0.103177302,-0.077433512,0.943837881,-0.003955536,-0.001179371,0.004162848,30:51.7,73.7,91,-0.181300782,-0.038603153,0.964552134,-0.029655157,-0.073844608,0.696768403,31:40.0,47.6,106.9,2
-0.095031723,-0.076951064,0.907527089,0.019929558,-0.071760684,-0.023157353,30:52.3,74.3,92,-0.156246968,-0.003590188,0.820892811,0.014021711,-0.046661098,0.794048697,31:41.0,48.2,107.9,5
-0.111076042,-0.046556596,0.966257989,0.004207425,0.002947783,-0.106903344,30:52.8,74.8,93,-0.032925211,0.027314165,1.065808207,0.015090724,-0.058878407,0.29940059,31:42.1,48.7,109,5
-0.088120326,-0.055481959,0.950661421,0.021922514,0.028604124,-0.277640194,30:53.3,75.3,94,0.073339892,0.032291411,1.052404821,-0.00338795,0.041456215,-0.339869887,31:43.1,49.2,110.1,5
-0.00567722,-0.057894215,0.995745361,0.021006219,0.015165088,-0.602925897,30:53.9,75.9,95,0.028088942,0.045420229,0.864149004,0.008829355,0.006942327,-0.087735254,31:44.2,49.8,111.1,5
0.034184873,-0.069955505,0.94651854,0.003901988,0.005391244,-0.814896166,30:54.4,76.4,96,0.095523691,-0.034785858,1.085303843,0.041968793,0.00969122,-0.121485557,31:45.3,50.3,112.2,5
0.048489183,-0.135568947,0.933602631,-0.01228594,0.063118011,-0.89308691,30:54.9,76.9,97,-0.001411457,0.018993438,0.966136158,0.002873417,-0.009398319,-0.076281529,31:46.3,50.8,113.2,5
0.154195607,-0.108792879,0.796644986,-0.037636846,0.07319729,-0.790156126,30:55.4,77.4,98,-0.00527641,0.029908942,0.990749538,0.04823016,0.000375525,-0.00175597,31:47.4,51.3,114.3,5
0.103039511,-0.11844191,0.854401171,-0.016256563,-0.071883217,-0.166462705,30:56.0,78,99,-0.106139327,0.072473582,1.062030792,0.000735391,-0.014132524,0.00817059,31:48.4,51.9,115.3,5
0.028608618,-0.133639157,0.979905009,0.041866623,0.050255697,-0.066994302,30:56.5,78.5,100,-0.073803861,0.042974288,0.979661316,-0.016049052,-0.039984522,-0.054325676,31:49.5,52.4,116.4,5
0.155650273,-0.247980222,0.804199576,-0.009751488,0.039565556,-0.014765328,30:57.0,79,101,-0.011532903,-0.053310923,0.995136082,-0.010995058,0.044730093,0.020164591,31:50.6,52.9,117.5,5
